"事件名","年","時代","概要","主要人物","関連事件"
"大化の改新","645年〜","飛鳥時代","中大兄皇子（後の天智天皇）と中臣鎌足が蘇我入鹿を暗殺した「乙巳の変」を発端に進められた政治改革。豪族の私有地・私有民を廃止し、公地公民制へ移行する律令国家への第一歩となりました。","中大兄皇子（天智天皇）; 中臣鎌足（藤原鎌足）; 蘇我入鹿; 皇極（斉明）天皇; 孝徳天皇","壬申の乱; 飛鳥浄御原令; 大宝律令"
"壬申の乱","672年","飛鳥時代","天智天皇の死後、その子・大友皇子と弟の大海人皇子が皇位を争った日本古代最大の内乱。勝った大海人皇子が天武天皇として即位し、律令国家建設が加速しました。","大海人皇子（天武天皇）; 大友皇子（弘文天皇）; 持統天皇; 額田王; 十市皇女","大化の改新; 藤原京遷都; 飛鳥浄御原令"
"藤原京遷都","694年","飛鳥時代","持統天皇によって完成された日本初の本格的な都城。中国の都を手本とした碁盤目状の街路を持ち、天皇・官庁・貴族の住まいを一体化。律令国家の象徴的な首都でした。","持統天皇; 文武天皇","飛鳥浄御原令; 平城京遷都; 大宝律令"
"平城京遷都","710年","奈良時代","元明天皇が藤原京から奈良の地に移した新都。唐の長安を模した壮大な都城で、これ以降約80年間が「奈良時代」と呼ばれます。律令国家の中央集権が制度的にほぼ完成しました。","元明天皇; 元正天皇; 藤原不比等","藤原京遷都; 大宝律令; 日本書紀完成"
"大仏開眼","752年","奈良時代","聖武天皇の発願により造立された東大寺盧舎那仏（奈良の大仏）の開眼供養。インドや唐の僧も招かれた国際色豊かな式典で、仏教による鎮護国家思想の到達点を示しました。","聖武天皇; 光明皇后; 孝謙天皇; 行基; 良弁","国分寺建立; 鑑真来日; 恵美押勝の乱"
"恵美押勝の乱","764年","奈良時代","藤原仲麻呂（恵美押勝）が孝謙上皇・道鏡と対立して挙兵した政変。仲麻呂が琵琶湖畔で討たれ、孝謙上皇は淳仁天皇を廃して重祚し称徳天皇となりました。","藤原仲麻呂（恵美押勝）; 孝謙＝称徳天皇; 淳仁天皇; 道鏡","橘奈良麻呂の変; 宇佐八幡宮神託事件; 大仏開眼"
"宇佐八幡宮神託事件","769年","奈良時代","称徳天皇が寵愛した僧・道鏡を皇位につかせようとしたが、和気清麻呂が宇佐八幡宮の神託を持ち帰り「皇統は皇族から」と否定。皇位継承の原則を守った事件として教科書でも有名です。","称徳天皇; 道鏡; 和気清麻呂","恵美押勝の乱; 光仁天皇即位"
"長岡京遷都","784年","奈良末期","桓武天皇が平城京の仏教勢力から距離を置くため、山背国に新都を造営。藤原種継暗殺事件などの混乱で短命に終わり、794年の平安京遷都へと繋がります。","桓武天皇; 藤原種継; 早良親王; 酒人内親王","平安京遷都; 平城京遷都; 蝦夷征討"
"平安京遷都","794年","平安時代初期","桓武天皇が長岡京を捨てて山背国（京都）に開いた新都。以後1000年以上にわたり日本の首都となる「平安時代」の幕開け。律令制の立て直しと貴族文化の発展が始まります。","桓武天皇; 酒人内親王; 坂上田村麻呂","長岡京遷都; 蝦夷征討; 薬子の変"
"薬子の変","810年","平安時代初期","退位した平城上皇が、寵愛する尚侍・藤原薬子と兄仲成の進言で平城京への再遷都を画策、現天皇・嵯峨と対立。嵯峨天皇方が勝利し、薬子は服毒自殺。「平城太上天皇の変」とも呼ばれます。","平城上皇; 嵯峨天皇; 藤原薬子; 藤原仲成","平安京遷都; 承和の変; 弘仁・貞観文化"
