"ID","人物名","読み","動画タイトル","動画URL","生年","没年","時代","国","関連事件","関連キーワード","役割","テーマ","要約"
"jito","持統天皇","じとうてんのう","持統天皇【ゆっくり解説】","https://www.youtube.com/watch?v=JejibmuXCuo","645","703","飛鳥","日本","壬申の乱; 藤原京遷都; 飛鳥浄御原令; 庚寅年籍","天武天皇; 天智天皇; 草壁皇子; 万葉集; 律令国家","女帝","律令国家; 女帝","天智天皇の娘で天武天皇の皇后。壬申の乱で夫を支え、夫の死後に即位。藤原京遷都を実現した律令国家建設の中心人物。"
"nukata","額田王・十市皇女","ぬかたのおおきみ・とおちのひめみこ","額田王と十市皇女【ゆっくり解説】","https://www.youtube.com/watch?v=nwZ5wBK8G4M","","","飛鳥","日本","壬申の乱","天武天皇; 天智天皇; 大友皇子; 万葉集","妃・歌人","三角関係; 悲劇; 和歌","額田王は兄弟である天智・天武両天皇に愛された歌人。娘の十市皇女は壬申の乱で敗れた大友皇子の妃となり、悲劇的な最期を遂げる。"
"gensho","元正天皇","げんしょうてんのう","元正天皇【ゆっくり解説】","https://www.youtube.com/watch?v=1HrAJb-Q6hc","680","748","奈良","日本","養老律令; 日本書紀完成; 三世一身法; 隼人の乱","藤原不比等; 聖武天皇; 草壁皇子; 元明天皇","女帝","律令国家; 女帝","母・元明天皇から譲位された史上唯一の母娘間継承の女帝。日本書紀完成・三世一身法施行など奈良時代の制度整備が進む。"
"inoe","井上内親王","いのえないしんのう","【光仁天皇皇后】井上内親王【ゆっくり解説】","https://www.youtube.com/watch?v=t31kL6MWTfU","717","775","奈良","日本","呪詛事件; 他戸親王廃太子","光仁天皇; 聖武天皇; 御霊信仰; 藤原氏","皇后","怨霊; 悲劇; 皇位継承","聖武天皇の娘で光仁天皇の皇后。子の他戸親王とともに呪詛の罪で廃后・幽閉され変死。日本三大怨霊の一人とされ御霊信仰の対象に。"
"koken","孝謙天皇","こうけんてんのう","【再投稿】孝謙天皇【ゆっくり解説】","https://www.youtube.com/watch?v=Grh88Ong2Ew","718","770","奈良","日本","大仏開眼; 橘奈良麻呂の変; 恵美押勝の乱; 宇佐八幡宮神託事件","道鏡; 藤原仲麻呂; 聖武天皇; 光明皇后; 和気清麻呂","女帝","女帝; 重祚; 政争","聖武天皇と光明皇后の娘。淳仁天皇への譲位後、藤原仲麻呂を討って重祚し称徳天皇に。道鏡を寵愛し皇位継承問題に発展した。"
"sakahito","酒人内親王","さかひとないしんのう","【桓武天皇妃】酒人内親王【ゆっくり解説】","https://www.youtube.com/watch?v=G4xxUVpPsv4","754","829","奈良末・平安初期","日本","平安京遷都; 長岡京遷都","桓武天皇; 光仁天皇; 井上内親王; 斎王","妃","皇族の悲劇","光仁天皇と井上内親王の娘。母の廃后事件後、異母兄の桓武天皇の妃に。激動の奈良末から平安初期を生きた。"
"kusuko","藤原薬子","ふじわらのくすこ","【平城天皇愛妾】藤原薬子【ゆっくり解説】","https://www.youtube.com/watch?v=HCWdP1e_YQw","","810","平安初期","日本","薬子の変","平城天皇; 嵯峨天皇; 二所朝廷","尚侍・愛妾","政変; 二所朝廷","平城天皇の寵愛を得て政務を動かし、上皇となった平城と現天皇嵯峨が対立した「薬子の変」（平城太上天皇の変）の中心人物。"
"kachiko","橘嘉智子","たちばなのかちこ","【嵯峨天皇皇后】橘嘉智子【ゆっくり解説】","https://www.youtube.com/watch?v=oTrfJfUbfvY","786","850","平安初期","日本","承和の変; 薬子の変","嵯峨天皇; 仁明天皇; 檀林皇后; 弘仁・貞観文化; 学館院","皇后","仏教; 貴族文化","嵯峨天皇の皇后で仁明天皇の母。檀林皇后と呼ばれ仏教を篤く信奉。弘仁・貞観文化を支えた女性。承和の変では兄逸勢が失脚。"
"takaiko","藤原高子","ふじわらのたかいこ","【清和天皇女御】藤原高子【ゆっくり解説】","https://www.youtube.com/watch?v=7TvtXOnflSs","842","910","平安初期","日本","応天門の変; 陽成天皇即位","清和天皇; 在原業平; 伊勢物語; 藤原基経; 藤原良房; 摂関政治","女御・皇太后","恋愛; 摂関政治; 文学","清和天皇の女御で陽成天皇の母。在原業平との恋が伊勢物語の題材に。兄基経が摂政となり藤原氏摂関政治の起点に。"
"yasuko","藤原安子","ふじわらのあんし","【村上天皇中宮】藤原安子【ゆっくり解説】","https://www.youtube.com/watch?v=zgqnv70bhoY","927","964","平安中期","日本","天暦の治; 安和の変","村上天皇; 藤原師輔; 冷泉天皇; 円融天皇; 藤原道長","中宮","摂関政治","藤原師輔の娘で村上天皇の中宮。冷泉・円融両天皇の母で、後の道長の祖母にあたる。藤原氏全盛の道を作った女性。"
